51,Torrejón de Ardoz ,126.934,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4567552,-3.4754967
52,Parla ,125.056,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.232367,-3.768906
53,Mataró ,124.867,Barcelona ,Flag of Catalonia.svg Cataluña,41.5381124,2.4447406
54,Cádiz ,120.468,Cádiz ,Flag of Andalucía.svg Andalucía,36.5270612,-6.2885962
55,Algeciras ,118.92,Cádiz ,Flag of Andalucía.svg Andalucía,36.1407591,-5.456233
56,Santa Coloma de Gramanet ,116.95,Barcelona ,Flag of Catalonia.svg Cataluña,41.44458789999999,2.2103217
57,Jaén ,115.395,Jaén ,Flag of Andalucía.svg Andalucía,37.7795941,-3.784905699999999
58,Alcobendas ,113.055,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.5372512,-3.637224499999999
59,Orense ,106.231,Orense ,Flag of Galicia.svg Galicia,42.33578929999999,-7.863880999999998
60,Reus ,103.194,Tarragona ,Flag of Catalonia.svg Cataluña,41.1498259,1.1055321
61,Telde ,102.078,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,27.9955313,-15.4173726
62,Baracaldo ,100.228,Vizcaya ,Flag of the Basque Country.svg País Vasco,43.2969875,-2.9862029
63,Lugo ,98.56,Lugo ,Flag of Galicia.svg Galicia,43.0097384,-7.5567582
64,Gerona ,97.227,Gerona ,Flag of Catalonia.svg Cataluña,41.9794005,2.8214264
65,San Fernando ,96.335,Cádiz ,Flag of Andalucía.svg Andalucía,36.4718646,-6.196594800000001
66,Cáceres ,95.855,Cáceres ,Flag of Extremadura (with coat of arms).svg Extremadura,39.4752765,-6.3724247
67,Santiago de Compostela ,95.8,La Coruña ,Flag of Galicia.svg Galicia,42.8782132,-8.5448445
68,Las Rozas de Madrid ,92.784,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4935329,-3.8757916
69,Lorca ,91.759,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,37.6735925,-1.6968357
70,Roquetas de Mar ,91.682,Almería ,Flag of Andalucía.svg Andalucía,36.7636819,-2.6154266
71,Torrevieja ,91.415,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,37.9847003,-0.6808233
72,Coslada ,88.847,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4260459,-3.5651646
73,El Puerto de Santa María ,88.7,Cádiz ,Flag of Andalucía.svg Andalucía,36.600595,-6.2329094
74,San Cugat del Vallés ,87.118,Barcelona ,Flag of Catalonia.svg Cataluña,41.4526016,2.0763253
75,Talavera de la Reina ,86.779,Toledo ,Flag of Castile-La Mancha.svg Castilla-La Mancha,39.962884,-4.830453599999999
76,Cornellá de Llobregat ,86.234,Barcelona ,Flag of Catalonia.svg Cataluña,41.3573827,2.0707159
77,Ceuta ,84.963,Ceuta ,Ceuta,35.8893874,-5.3213455
78,Melilla ,84.509,Melilla ,Flag of Melilla.svg Melilla,35.2922775,-2.9380973
79,Pozuelo de Alarcón ,84.36,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4475272,-3.8074152
80,El Ejido ,84.144,Almería ,Flag of Andalucía.svg Andalucía,36.7731148,-2.8103551
81,Guadalajara ,83.72,Guadalajara ,Flag of Castile-La Mancha.svg Castilla-La Mancha,40.632489,-3.16017
82,Orihuela ,83.417,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.08555279999999,-0.9480050999999999
83,Toledo ,83.334,Toledo ,Flag of Castile-La Mancha.svg Castilla-La Mancha,39.8628316,-4.027323099999999
84,San Sebastián de los Reyes ,83.329,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.5589672,-3.6261976
85,San Baudilio de Llobregat ,83.107,Barcelona ,Flag of Catalonia.svg Cataluña,41.3458447,2.0350751
86,Pontevedra ,82.946,Pontevedra ,Flag of Galicia.svg Galicia,42.4298846,-8.6446202
87,Chiclana de la Frontera ,82.298,Cádiz ,Flag of Andalucía.svg Andalucía,36.4165052,-6.1461102
88,Avilés ,81.659,Principado de Asturias ,Flag of Asturias.svg Asturias,43.5579523,-5.9246653
89,Torrente ,80.551,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.4322368,-0.472373
90,Rivas-Vaciamadrid ,80.483,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.3519065,-3.5357334
91,Palencia ,80.178,Palencia ,Flag of Castile and León.svg Castilla y León,42.0096857,-4.5288016
92,Arona ,79.89,S. C. de Tenerife ,Flag of the Canary Islands (simple).svg Canarias,28.0999496,-16.679977
93,Guecho ,79.544,Vizcaya ,Flag of the Basque Country.svg País Vasco,43.3622858,-3.0125674
94,Vélez-Málaga ,77.808,Málaga ,Flag of Andalucía.svg Andalucía,36.7799228,-4.1005589
95,Mijas ,77.521,Málaga ,Flag of Andalucía.svg Andalucía,36.5967755,-4.6323067
96,Gandía ,76.497,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.968032,-0.1844671
97,Fuengirola ,75.856,Málaga ,Flag of Andalucía.svg Andalucía,36.544148,-4.624943900000001
98,Manresa ,75.297,Barcelona ,Flag of Catalonia.svg Cataluña,41.7292826,1.8225154
99,Ciudad Real ,74.96,Ciudad Real ,Flag of Castile-La Mancha.svg Castilla-La Mancha,38.9848295,-3.927377799999999
100,Alcalá de Guadaíra ,74.404,Sevilla ,Flag of Andalucía.svg Andalucía,37.3397234,-5.8416716
101,Rubí ,74.353,Barcelona ,Flag of Catalonia.svg Cataluña,41.4971174,2.0349243
102,Valdemoro ,72.265,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.1912403,-3.6740182
103,Ferrol ,70.389,La Coruña ,Flag of Galicia.svg Galicia,43.48964600000001,-8.2193451
104,Majadahonda ,70.359,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4737586,-3.8683123
105,Benidorm ,69.01,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.5410566,-0.1224937
106,Molina de Segura ,68.775,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,38.05168099999999,-1.2073261
107,Santa Lucía de Tirajana ,68.544,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,27.9101389,-15.5401365
108,Sanlúcar de Barrameda ,67.385,Cádiz ,Flag of Andalucía.svg Andalucía,36.7725774,-6.3529689
109,Ponferrada ,67.367,León ,Flag of Castile and León.svg Castilla y León,42.5499958,-6.598259000000001
110,Torremolinos ,67.353,Málaga ,Flag of Andalucía.svg Andalucía,36.6225541,-4.4994767
111,Paterna ,67.156,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.5037093,-0.4431618
112,Benalmádena ,66.939,Málaga ,Flag of Andalucía.svg Andalucía,36.5987966,-4.5168056
113,Estepona ,66.566,Málaga ,Flag of Andalucía.svg Andalucía,36.4256345,-5.1510261
114,Villanueva y Geltrú ,65.941,Barcelona ,Flag of Catalonia.svg Cataluña,41.2151504,1.727446
115,Viladecans ,65.358,Barcelona ,Flag of Catalonia.svg Cataluña,41.315296,2.0133208
116,Sagunto ,65.003,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.6798633,-0.2784385
117,Zamora ,64.423,Zamora ,Flag of Castile and León.svg Castilla y León,41.5034712,-5.7467879
118,Casteldefels ,63.255,Barcelona ,Flag of Catalonia.svg Cataluña,41.2790599,1.9734743
119,La Línea de la Concepción ,63.132,Cádiz ,Flag of Andalucía.svg Andalucía,36.1927346,-5.3468563
120,El Prat de Llobregat ,62.866,Barcelona ,Flag of Catalonia.svg Cataluña,41.3245953,2.0934902
121,Collado Villalba ,62.587,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.6308775,-4.0055605
122,Irún ,61.195,Guipúzcoa ,Flag of the Basque Country.svg País Vasco,43.3381465,-1.7888495
123,Motril ,60.87,Granada ,Flag of Andalucía.svg Andalucía,36.7489747,-3.5180363
124,Linares ,60.29,Jaén ,Flag of Andalucía.svg Andalucía,38.09690980000001,-3.6369803
125,Granollers ,59.93,Barcelona ,Flag of Catalonia.svg Cataluña,41.60619270000001,2.2870889
126,Alcoy ,59.675,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.6987066,-0.4810937
127,Mérida ,58.985,Badajoz ,Flag of Extremadura (with coat of arms).svg Extremadura,38.9191439,-6.3408055
128,Ávila ,58.933,Ávila ,Flag of Castile and León.svg Castilla y León,40.656685,-4.6812086
129,Aranjuez ,57.792,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.0305018,-3.6040527
130,Sardañola del Vallés ,57.402,Barcelona ,Flag of Catalonia.svg Cataluña,41.4900419,2.1396748
131,Arrecife ,56.88,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,28.9651694,-13.5550363
132,San Vicente del Raspeig ,55.946,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.3964181,-0.5248710999999999
133,Cuenca ,55.738,Cuenca ,Flag of Castile-La Mancha.svg Castilla-La Mancha,40.0703925,-2.1374162
134,Arganda del Rey ,55.307,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.3064463,-3.4479063
135,S. Bartolomé de Tirajana ,54.377,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,27.9249459,-15.5730295
136,Torrelavega ,54.196,Cantabria ,Flag of Cantabria (Official).svg Cantabria,43.3488503,-4.050150500000001
137,Elda ,53.54,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.4765073,-0.7964597
