Bois-Colombes,28561
Le Plessis-Robinson,28500
La Garenne-Colombes,28498
Lambersart,28491
Soissons,28472
Pierrefitte-sur-Seine,28459
Carpentras,28422
Villiers-sur-Marne,28190
Vanves,28170
Menton,28100
Bergerac,28063
Ermont,28021
Bezons,27855
Grigny,27716
Guyancourt,27546
Saumur,27413
Herblay,27378
Ris-Orangis,27312
Villiers-le-Bel,27312
Bourgoin-Jallieu,27163
Vierzon,27113
Décines-Charpieu,26826
Hénin-Beaumont,26748
Fresnes,26645
Aurillac,26572
Sannois,26557
Vallauris,26465
Illkirch-Graffenstaden,26455
Alençon,26350
Élancourt,26290
Tournefeuille,26206
Bègles,26104
Gonesse,26075
Oullins,26072
Brunoy,26066
Taverny,25998
Armentières,25978
Montfermeil,25945
Rambouillet,25926
Villeparisis,25889
Le Kremlin-Bicêtre,25863
Sucy-en-Brie,25849
Montbéliard,25697
Romainville,25657
Cavaillon,25636
Saint-Dizier,25626
Brétigny-sur-Orge,25624
Saint-Sébastien-sur-Loire,25610
Saintes,25601
La Teste-de-Buch,25587
Villeneuve-la-Garenne,25466
Béthune,25463
Bussy-Saint-Georges,25419
Vichy,25325
La Garde,25298
Agde,25253
Laon,25219
Sens,25018
Lunel,25006
Miramas,25002
Biarritz,24993
Le Grand-Quevilly,24967
Orvault,24922
Les Ulis,24914
Champs-sur-Marne,24913
Rochefort,24761
Muret,24725
Eaubonne,24606
Étampes,24502
Gradignan,24439
Vernon,24064
Libourne,23947
Abbeville,23821
Rodez,23741
Saint-Ouen-l'Aumône,23702
Torcy,23669
Montgeron,23565
Villeneuve-sur-Lot,23462
Cormeilles-en-Parisis,23419
Épernay,23413
Sèvres,23404
Dole,23312
Le Bouscat,23207
Maisons-Laffitte,23194
Blagnac,22969
Frontignan,22942
Cenon,22882
Mandelieu-la-Napoule,22864
Vertou,22820
Les Lilas,22819
Limeil-Brévannes,22816
Bruay-la-Buissière,22802
Les Pavillons-sous-Bois,22680
Chaumont,22560
Roissy-en-Brie,22559
Le Petit-Quevilly,22426
Manosque,22412
Saint-Mandé,22398
