Granville,13104
Plougastel-Daoulas,13101
Valbonne,13092
Anzin,13092
Fontenay-le-Fleury,13086
Bois-Guillaume,13046
Avrillé,12972
Val-de-Reuil,12969
Saint-Jean-de-Luz,12967
Saint-Paul-lès-Dax,12956
Auray,12946
Pierrelatte,12936
Yzeure,12905
Somain,12863
Montataire,12843
Nemours,12824
Valenton,12819
Châlette-sur-Loing,12812
Saint-Martin-de-Crau,12737
Kingersheim,12720
Bischwiller,12718
Raismes,12682
Bully-les-Mines,12678
Bonneville,12648
Roquebrune-Cap-Martin,12646
Pont-Sainte-Maxence,12637
La Chapelle-Saint-Luc,12634
Fourmies,12581
Sablé-sur-Sarthe,12575
Seclin,12571
Épinay-sous-Sénart,12565
Comines,12564
Moissac,12564
Saint-Julien-en-Genevois,12561
Le Chambon-Feugerolles,12523
Stiring-Wendel,12506
Mions,12485
Morangis,12456
Villetaneuse,12451
Canet-en-Roussillon,12436
Noeux-les-Mines,12424
Issoudun,12420
Castanet-Tolosan,12388
Roquebrune-sur-Argens,12344
Genas,12341
Apt,12325
Sarrebourg,12306
Tarnos,12269
Andrésy,12249
Harnes,12244
Amilly,12232
Lamballe,12217
Briançon,12190
Plouzané,12175
Seyssinet-Pariset,12156
Les Ponts-de-Cé,12112
Lons,12106
Bruay-sur-l'Escaut,12097
Vernouillet,12047
Monteux,12015
La Queue-en-Brie,12008
Quimperlé,11978
L'Isle-Adam,11976
Riedisheim,11962
Barentin,11957
Provins,11940
Ostwald,11925
Villefranche-de-Rouergue,11909
Saint-Cyr-sur-Mer,11894
Chauny,11874
Châteaubriant,11866
Yvetot,11849
Saint-Estève,11846
Villeneuve-lès-Avignon,11833
Persan,11809
Graulhet,11807
Aubenas,11803
Fonsorbes,11786
Saint-Jacques-de-la-Lande,11783
Saint-André-les-Vergers,11770
Carros,11756
L'Union,11731
Gaillard,11723
Méricourt,11708
Sassenage,11705
Rognac,11700
Florange,11689
Mende,11679
Cernay,11664
Bellegarde-sur-Valserine,11644
Cogolin,11642
Gravelines,11638
Saverne,11609
Onet-le-Château,11604
Claye-Souilly,11599
Vire,11597
Château-Gontier,11582
Aubergenville,11576
Andernos-les-Bains,11575
Triel-sur-Seine,11572
Ploufragan,11569
La Motte-Servolex,11563
Bolbec,11551
Saint-André-lez-Lille,11533
Oissel,11505
Ifs,11500
Castelnaudary,11476
Voisins-le-Bretonneux,11464
Brignais,11429
Porto-Vecchio,11354
Marly,11335
Enghien-les-Bains,11332
Auriol,11325
Le Relecq-Kerhuon,11323
Saint-Martin-Boulogne,11323
Guebwiller,11322
Solliès-Pont,11310
Thiers,11308
Saint-Junien,11301
Ville-d'Avray,11266
Saint-Orens-de-Gameville,11243
Saint-Gaudens,11241
Maizières-lès-Metz,11233
Lézignan-Corbières,11223
Longuenesse,11204
Gisors,11201
Vauvert,11195
Maromme,11188
La Roche-sur-Foron,11184
Saint-Hilaire-de-Riez,11169
Étaples,11158
Le Pont-de-Claix,11133
Talant,11131
Saint-Saulve,11108
Chantilly,11108
Le Pradet,11074
Allonnes,11047
Pacé,11044
Lieusaint,11033
Hoenheim,11028
Corbas,10968
Douchy-les-Mines,10964
Passy,10958
Dinan,10940
Obernai,10932
Vidauban,10928
Beaumont,10926
Guilherand-Granges,10918
Erstein,10916
Gex,10893
Chambray-lès-Tours,10881
Auchel,10863
Villers-Cotterêts,10797
Oloron-Sainte-Marie,10794
Montlouis-sur-Loire,10787
Vaux-le-Pénil,10764
Guidel,10760
Tarare,10733
Saint-Avé,10728
Trets,10719
Saint-Cyprien,10716
Clermont,10714
Septèmes-les-Vallons,10713
Arpajon,10707
Lavaur,10691
Riorges,10690
Plan-de-Cuques,10689
Vedène,10661
Mèze,10642
Courrières,10639
Cosne-Cours-sur-Loire,10629
Betton,10608
Cuers,10570
Orthez,10569
Wittelsheim,10562
Panazol,10560
Tournon-sur-Rhône,10545
Aniche,10536
Pornichet,10531
Pont-du-Château,10516
Épinay-sur-Orge,10499
Nogent-le-Rotrou,10496
Saint-André-de-Cubzac,10495
Chevigny-Saint-Sauveur,10486
Marck,10481
Arcachon,10476
Craponne,10466
Chantepie,10410
Gerzat,10404
Pont-Saint-Esprit,10393
Mainvilliers,10368
Saint-Jean,10358
Saint-Claude,10346
Villebon-sur-Yvette,10344
Dourdan,10342
Déville-lès-Rouen,10309
Neuville-en-Ferrain,10294
La Riche,10276
Bernay,10275
Valentigney,10264
Annoeullin,10246
Saint-Amand-Montrond,10238
Amnéville,10235
La Trinité,10232
Igny,10228
Montigny-en-Gohelle,10227
Dugny,10216
Parthenay,10204
Marquette-lez-Lille,10196
Fondettes,10193
Pontchâteau,10191
Lillers,10184
Sainte-Savine,10183
Le Luc,10183
Limoux,10166
Caudebec-lès-Elbeuf,10154
Bourg-de-Péage,10137
Pierre-Bénite,10132
Pernes-les-Fontaines,10121
Mazamet,10118
Brumath,10094
Roche-la-Molière,10093
La Chapelle-Saint-Mesmin,10078
Albert,10054
Eybens,10048
Tinqueux,10023
Ormesson-sur-Marne,10016
Biot,10015
Chanteloup-les-Vignes,10013
Rombas,10002
Lescar,9993
Croissy-sur-Seine,9990
