Andorra la Vella,Andorra la Vella,20430,42.506317,1.521835,default
Escaldes-Engordany,Les Escaldes,15853,42.510080,1.538786,default
Encamp,Encamp,11223,42.536265,1.583022,default
Sant Julià de Lòria,Sant Julià de Lòria,8022,42.465786,1.492128,default
La Massana,La Massana,7211,42.545625,1.514739,default
Canillo,Canillo,3292,42.566654,1.599458,default
Ordino,Ordino,3066,42.555655,1.533073,default
Encamp,El Pas de la Casa,2613,42.542198,1.732591,left
