Collado Villalba,62587,40.6308775,-4.0055605
Irún,61195,43.3381465,-1.7888495
Motril,6087,36.7489747,-3.5180363
Linares,6029,38.09690980000001,-3.6369803
Granollers,5993,41.60619270000001,2.2870889
Alcoy,59675,38.6987066,-0.4810937
Mérida,58985,38.9191439,-6.3408055
Ávila,58933,40.656685,-4.6812086
Aranjuez,57792,40.0305018,-3.6040527
Sardañola del Vallés,57402,41.4900419,2.1396748
Arrecife,5688,28.9651694,-13.5550363
San Vicente del Raspeig,55946,38.3964181,-0.5248710999999999
Cuenca,55738,40.0703925,-2.1374162
Arganda del Rey,55307,40.3064463,-3.4479063
S. Bartolomé de Tirajana,54377,27.9249459,-15.5730295
Torrelavega,54196,43.3488503,-4.050150500000001
Elda,5354,38.4765073,-0.7964597
Segovia,5326,40.9429032,-4.108806899999999
Huesca,52555,42.131845,-0.4078058
Utrera,52437,37.1848134,-5.7795147
Siero,5238,43.3915032,-5.6608158
Mollet del Vallés,51719,41.542551,2.2113698
Villarreal,50755,39.9397706,-0.1005932
Puertollano,50608,38.6884458,-4.1078877
Calviá,50363,39.5626346,2.5197932
Ibiza,49693,38.9067339,1.4205983
Boadilla del Monte,47852,40.4122794,-3.8887699
Pinto,47594,40.2375052,-3.6967718
Colmenar Viejo,47445,40.6626481,-3.7710457
Portugalete,47117,43.3182479,-3.0211969
Adeje,46667,28.1220604,-16.7338211
Santurce,46651,43.328128,-3.0336586
Gavá,46326,41.2987914,1.9930466
Esplugas de Llobregat,46133,41.3772561,2.0910377
Figueras,45444,42.26550659999999,2.9581046
Alcira,44518,39.1511854,-0.4333643
Denia,44455,38.8387992,0.1050557
Mislata,438,39.4766346,-0.4184093
San Feliú de Llobregat,43671,41.3979911,2.0518154
Langreo,43647,43.3081128,-5.6960562
Mairena del Aljarafe,42784,37.350923,-6.0520363
Lucena,42592,37.4129332,-4.4961008
Granadilla de Abona,42545,28.1222699,-16.5768911
Mieres,42421,43.24971900000001,-5.778528199999999
Basauri,41971,43.2353175,-2.8912652
Antequera,41827,37.020001,-4.5593676
La Orotava,41726,28.3913534,-16.5238744
Alcantarilla,41381,37.9695167,-1.2193422
San Fernando de Henares,41376,40.4256038,-3.5318722
Puerto Real,41364,36.5316485,-6.1831947
Tres Cantos,41302,40.600727,-3.7079745
Rincón de la Victoria,41216,36.7176779,-4.280396
Vich,41191,41.9304373,2.2544335
Plasencia,41002,40.04209549999999,-6.0838065
Lloret de Mar,40837,41.7005989,2.8398194
Manacor,40831,39.5697165,3.2095318
Écija,40683,37.5414656,-5.0826742
Soria,40147,41.7665972,-2.4790306
Blanes,39785,41.6759954,2.7902289
Rentería,39324,43.3081107,-1.8912823
Narón,39238,43.5012892,-8.192374299999999
Igualada,39198,41.5847817,1.6226538
Tomelloso,39093,39.15837450000001,-3.0214475
Villafranca del Panadés,39035,41.3461265,1.6979398
Andújar,39008,38.03849,-4.0516619
Miranda de Ebro,384,42.6869753,-2.945068
Burjasot,38175,39.5096699,-0.4135963
Los Realejos,38028,28.3854734,-16.5841956
Los Palacios y Villafranca,37741,37.1584636,-5.9244808
Villagarcía de Arosa,37621,42.5953513,-8.7659082
La Rinconada,3758,37.4872681,-5.9816424
Onteniente,3754,38.8220593,-0.6063927
Ripollet,37348,41.49845,2.1569325
Lluchmayor,36959,39.49084390000001,2.8916657
Arucas,36872,28.1201412,-15.5210607
Ronda,36793,36.746209,-5.161225099999999
Alhaurín de la Torre,3673,36.6598945,-4.5598636
Don Benito,3648,38.954463,-5.8618982
Vendrell,36453,41.2006621,1.5111806
Úbeda,35866,38.0114236,-3.3712457
Puerto del Rosario,35664,28.500821,-13.8628367
Mazarrón,35473,37.5958175,-1.3147353
Burriana,35433,39.8895925,-0.0848302
Tudela,35429,42.0613816,-1.6063169
Cieza,35425,38.2420912,-1.4217274
Teruel,35288,40.3456879,-1.1064345
Águilas,3499,37.4117554,-1.5827678
Villena,34966,38.6318196,-0.8612206
Yecla,34813,38.6122134,-1.110112
Petrel,34726,38.4807333,-0.7719037
Tortosa,34432,40.8125777,0.5214423
Marrachí,34385,39.627193,2.7572077
Almendralejo,35014,38.6914575,-6.4058423
Moncada y Reixach,34232,41.4931546,2.181871000000001
Azuqueca de Henares,34195,40.5648765,-3.2680616
San Adrián de Besós,34157,41.4223872,2.2212071
Oleiros,34133,43.33270590000001,-8.3157003
Santa Eulalia del Río,33734,38.98333299999999,1.516667
Olot,33725,42.18220780000001,2.4880242
Santa Pola,33372,38.1965614,-0.5612438
Aranda de Duero,33229,41.6692282,-3.6902166
Torre Pacheco,33218,37.7442385,-0.9536260999999998
Cambrils,33008,41.0666754,1.0603606
Vall de Uxó,32864,39.8242386,-0.2315018
Puerto de la Cruz,32817,28.411413,-16.5449611
Villajoyosa,32733,38.5079606,-0.2285807
Galapagar,32575,40.5768377,-4.005802699999999
Jávea,32469,38.7890109,0.1660813
San Juan Despí,32406,41.365393,2.0542658
Castro-Urdiales,32374,43.3688221,-3.2156354
San Javier,32366,37.8054749,-0.8379313
Barberá del Vallés,32033,41.5136208,2.1255553
Alcázar de San Juan,31652,39.3900748,-3.2100984
San Andrés del Rabanedo,31562,42.6112686,-5.617545000000001
Camargo,31556,43.4047027,-3.8846224
Arcos de la Frontera,31496,36.7560042,-5.8116522
Carballo,31303,43.2128217,-8.691526399999999
Hellín,31199,38.5068902,-1.6979398
Valdepeñas,31141,38.760524,-3.3876074
Manises,30747,39.4937868,-0.4635382999999999
Aldaya,30645,39.4595217,-0.4927134
Arteijo,30482,43.303707,-8.5102275
Lejona,30454,43.32670359999999,-2.990057
Puente Genil,30424,37.3909975,-4.7665698
Chirivella,30405,39.4597817,-0.4266584
Salt,30389,41.9726971,2.791944
Alacuás,30235,39.4518434,-0.4714694
Coria del Río,30208,37.2882628,-6.0533598
Redondela,30006,42.2818519,-8.609170299999999
Inca,29966,39.71777429999999,2.9075475
San Roque,29965,36.2104615,-5.384431699999999
Totana,29961,37.7700655,-1.4990814
Ingenio,29871,27.9182821,-15.4331746
Agüimes,29767,27.9018327,-15.4463485
Calpe,29718,38.6436469,0.04568759999999999
Játiva,29469,38.9899566,-0.5235474
Ciudadela,29315,40.01987099999999,3.809256999999999
Níjar,29284,36.96593060000001,-2.2067723
Culleredo,29207,43.2882033,-8.389602
Rota,29125,36.6236874,-6.3601441
Galdácano,29049,43.2313783,-2.8447524
Sueca,28986,39.2033565,-0.3113278
Sestao,28959,43.3093903,-3.0072372
Mahón,28942,39.8873296,4.259619499999999
