EX,Extremadura,06,Badajoz,088,Montijo,,15789,38.9089185,-6.6172103
EX,Extremadura,06,Badajoz,095,Olivenza,,12090,38.6826443,-7.1026661
EX,Extremadura,06,Badajoz,149,Villafranca de los Barros,,13289,38.562691,-6.341219199999999
EX,Extremadura,06,Badajoz,153,Villanueva de la Serena,,26021,38.97357520000001,-5.7997323
EX,Extremadura,06,Badajoz,158,Zafra,,16857,38.4225303,-6.415722499999999
PM,Balearic Islands,07,Balearic Islands,003,Alcúdia,,19763,39.8532672,3.1240239
PM,Balearic Islands,07,Balearic Islands,005,Andratx,,11093,39.5744273,2.4202537
PM,Balearic Islands,07,Balearic Islands,011,Calvià,,50328,39.5653483,2.5033683
PM,Balearic Islands,07,Balearic Islands,014,Capdepera,,11420,39.7023646,3.4353222
PM,Balearic Islands,07,Balearic Islands,015,Ciutadella de Menorca,,29098,39.9991163,3.8389047
PM,Balearic Islands,07,Balearic Islands,022,Felanitx,,17412,39.4696851,3.148297
PM,Balearic Islands,07,Balearic Islands,024,Formentera,,11878,38.6964006,1.4531355
PM,Balearic Islands,07,Balearic Islands,026,Eivissa,,49975,38.9067339,1.4205983
PM,Balearic Islands,07,Balearic Islands,027,Inca,,30651,39.71777429999999,2.9075475
PM,Balearic Islands,07,Balearic Islands,031,Llucmajor,,34618,39.49084390000001,2.8916657
PM,Balearic Islands,07,Balearic Islands,032,Maó-Mahón,,28006,39.8873296,4.259619499999999
PM,Balearic Islands,07,Balearic Islands,033,Manacor,,40170,39.5697165,3.2095318
PM,Balearic Islands,07,Balearic Islands,036,Marratxí,,35726,39.6214684,2.7253135
PM,Balearic Islands,07,Balearic Islands,040,Palma de Mallorca,,400578,39.5696005,2.6501603
PM,Balearic Islands,07,Balearic Islands,042,Pollença,,16115,39.8771939,3.0162026
PM,Balearic Islands,07,Balearic Islands,044,Sa Pobla,,12694,39.7697384,3.0250778
PM,Balearic Islands,07,Balearic Islands,046,Sant Antoni de Portmany,,23631,38.9826357,1.3015192
PM,Balearic Islands,07,Balearic Islands,048,Sant Josep de sa Talaia,,25674,38.9217535,1.2934954
PM,Balearic Islands,07,Balearic Islands,054,Santa Eulària des Riu,,35812,38.9852753,1.5350964
PM,Balearic Islands,07,Balearic Islands,055,Santa Margalida,,11672,39.7020092,3.1039678
PM,Balearic Islands,07,Balearic Islands,057,Santanyí,,11316,39.3538601,3.1302932
PM,Balearic Islands,07,Balearic Islands,061,Sóller,,13648,39.7670693,2.7157866
PM,Balearic Islands,07,Balearic Islands,062,Son Servera,,11449,39.6201493,3.3603044
CT,Catalunya,08,Barcelona,001,Abrera,,12071,41.5175266,1.9017802
CT,Catalunya,08,Barcelona,006,Arenys de Mar,,15289,41.5797073,2.5508683
CT,Catalunya,08,Barcelona,009,Argentona,,11978,41.5531639,2.4008466
CT,Catalunya,08,Barcelona,015,Badalona,,215654,41.4469883,2.2450325
CT,Catalunya,08,Barcelona,019,Barcelona,,1604555,41.3850639,2.1734035
CT,Catalunya,08,Barcelona,022,Berga,,16238,42.1012595,1.8439221
CT,Catalunya,08,Barcelona,033,Caldes de Montbui,,17098,41.6316583,2.1668706
CT,Catalunya,08,Barcelona,035,Calella,,18226,41.6134346,2.6535552
