Barcelona,Lliçà d'Amunt,14742
Barcelona,Lliçà de Vall,6383
Barcelona,Malgrat de Mar,18371
Barcelona,Manlleu,20228
Barcelona,Manresa,74655
Barcelona,Martorell,27694
Barcelona,Martorelles,4756
Barcelona,Masies de Voltregà (Les),3165
Barcelona,Masnou (El),22923
Barcelona,Masquefa,8335
Barcelona,Matadepera,8900
Barcelona,Mataró,124867
Barcelona,Mediona,2273
Barcelona,Molins de Rei,25155
Barcelona,Mollet del Vallès,51650
Barcelona,Montcada i Reixac,34377
Barcelona,Montgat,11501
Barcelona,Monistrol de Montserrat,2901
Barcelona,Figaró-Montmany,1094
Barcelona,Montmeló,8835
Barcelona,Montornès del Vallès,16172
Barcelona,Moià,5865
Barcelona,Navarcles,6012
Barcelona,Navàs,6103
Barcelona,Òdena,3623
Barcelona,Olèrdola,3518
Barcelona,Olesa de Bonesvalls,1715
Barcelona,Olesa de Montserrat,23536
Barcelona,Olivella,3569
Ourense,Piñor,1232
Ourense,Pobra de Trives (A),2245
Ourense,Rairiz de Veiga,1430
Ourense,Ramirás,1607
Ourense,Ribadavia,5112
Ourense,Riós,1683
Ourense,Rúa (A),4595
Ourense,Rubiá,1473
Ourense,San Amaro,1170
Ourense,San Cibrao das Viñas,5036
Ourense,San Cristovo de Cea,2346
Ourense,Sandiás,1307
Ourense,Sarreaus,1283
Ourense,Taboadela,1514
Ourense,Toén,2426
Ourense,Trasmiras,1410
Ourense,Verea,1042
Ourense,Verín,14107
Ourense,Viana do Bolo,3037
Ourense,Vilamarín,2026
Ourense,Vilamartín de Valdeorras,1798
Ourense,Vilar de Barrio,1455
Ourense,Vilardevós,2170
Asturias,Allande,1826
Asturias,Aller,11555
Asturias,Avilés,80880
Asturias,Belmonte de Miranda,1641
Asturias,Bimenes,1768
Asturias,Boal,1669
Asturias,Cabrales,2094
Asturias,Cabranes,1056
Asturias,Candamo,2055
Asturias,Cangas del Narcea,13451
Asturias,Cangas de Onís,6498
Asturias,Carreño,10704
Asturias,Caso,1663
Asturias,Castrillón,22735
Asturias,Castropol,3638
Asturias,Coaña,3419
Asturias,Colunga,3518
Asturias,Corvera de Asturias,16088
Asturias,Cudillero,5210
Asturias,Degaña,1082
Asturias,Franco (El),3859
Asturias,Gijón,274290
Asturias,Gozón,10588
Asturias,Grado,10309
Asturias,Ibias,1473
Asturias,Illas,1030
Asturias,Langreo,41738
Asturias,Laviana,13582
Asturias,Lena,11654
Asturias,Valdés,12421
Asturias,Llanera,13904
Asturias,Llanes,13694
Asturias,Mieres,40338
Asturias,Morcín,2746
Asturias,Muros de Nalón,1883
Asturias,Nava,5411
Asturias,Navia,8644
Asturias,Noreña,5333
Asturias,Oviedo,221870
Asturias,Parres,5490
Asturias,Peñamellera Baja,1291
Asturias,Piloña,7412
Asturias,Pravia,8667
Asturias,Quirós,1250
Asturias,Regueras (Las),1934
Asturias,Ribadedeva,1836
Asturias,Ribadesella,5904
Asturias,Ribera de Arriba,1890
Asturias,Riosa,2061
Asturias,Salas,5371
Asturias,San Martín del Rey Aurelio,17182
Asturias,Sariego,1276
Asturias,Siero,52191
Asturias,Somiedo,1231
